395.4131 	EXP 	NL_Pair: autoDraw = False
395.4131 	EXP 	number_reminder: autoDraw = False
395.4131 	EXP 	letter_reminder: autoDraw = False
395.4131 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
395.4131 	EXP 	NL_Pair: text = '5U'
395.4131 	EXP 	number_reminder: text = 'F = Odd        J = Even'
395.4131 	EXP 	letter_reminder: text = ' '
395.4131 	EXP 	NL_Pair: autoDraw = True
395.4131 	EXP 	number_reminder: autoDraw = True
395.4131 	EXP 	letter_reminder: autoDraw = True
396.3019 	EXP 	New trial (rep=0, index=19): OrderedDict([('pair', '1M'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
396.3166 	DATA 	Keypress: f
396.3298 	EXP 	NL_Pair: autoDraw = False
396.3298 	EXP 	number_reminder: autoDraw = False
396.3298 	EXP 	letter_reminder: autoDraw = False
396.3298 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
396.3298 	EXP 	NL_Pair: text = '1M'
396.3298 	EXP 	number_reminder: text = 'F = Odd        J = Even'
396.3298 	EXP 	letter_reminder: text = ' '
396.3298 	EXP 	NL_Pair: autoDraw = True
396.3298 	EXP 	number_reminder: autoDraw = True
396.3298 	EXP 	letter_reminder: autoDraw = True
397.1354 	EXP 	New trial (rep=0, index=20): OrderedDict([('pair', '3M'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
397.1573 	DATA 	Keypress: f
397.1797 	EXP 	NL_Pair: autoDraw = False
397.1797 	EXP 	number_reminder: autoDraw = False
397.1797 	EXP 	letter_reminder: autoDraw = False
397.1797 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
397.1797 	EXP 	NL_Pair: text = '3M'
397.1797 	EXP 	number_reminder: text = 'F = Odd        J = Even'
397.1797 	EXP 	letter_reminder: text = ' '
397.1797 	EXP 	NL_Pair: autoDraw = True
397.1797 	EXP 	number_reminder: autoDraw = True
397.1797 	EXP 	letter_reminder: autoDraw = True
398.2019 	EXP 	New trial (rep=0, index=21): OrderedDict([('pair', '3K'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
398.2167 	DATA 	Keypress: f
398.2298 	EXP 	NL_Pair: autoDraw = False
398.2298 	EXP 	number_reminder: autoDraw = False
398.2298 	EXP 	letter_reminder: autoDraw = False
398.2298 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
398.2298 	EXP 	NL_Pair: text = '3K'
398.2298 	EXP 	number_reminder: text = 'F = Odd        J = Even'
398.2298 	EXP 	letter_reminder: text = ' '
398.2298 	EXP 	NL_Pair: autoDraw = True
398.2298 	EXP 	number_reminder: autoDraw = True
398.2298 	EXP 	letter_reminder: autoDraw = True
399.1180 	EXP 	New trial (rep=0, index=22): OrderedDict([('pair', '6E'), ('allowed', 'fj'), ('correct', 'j'), ('state', 'TopLeft'), ('position', [-0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
399.1336 	DATA 	Keypress: f
399.1464 	EXP 	NL_Pair: autoDraw = False
399.1464 	EXP 	number_reminder: autoDraw = False
399.1464 	EXP 	letter_reminder: autoDraw = False
399.1464 	EXP 	NL_Pair: pos = array([-0.3 ,  0.25])
399.1464 	EXP 	NL_Pair: text = '6E'
399.1464 	EXP 	number_reminder: text = 'F = Odd        J = Even'
399.1464 	EXP 	letter_reminder: text = ' '
399.1464 	EXP 	NL_Pair: autoDraw = True
399.1464 	EXP 	number_reminder: autoDraw = True
399.1464 	EXP 	letter_reminder: autoDraw = True
400.0019 	EXP 	New trial (rep=0, index=23): OrderedDict([('pair', '7I'), ('allowed', 'fj'), ('correct', 'f'), ('state', 'TopRight'), ('position', [0.3, 0.25]), ('num_reminder', 'F = Odd        J = Even'), ('lett_reminder', ' ')])
400.0176 	DATA 	Keypress: j
400.0297 	EXP 	NL_Pair: autoDraw = False
400.0297 	EXP 	number_reminder: autoDraw = False
400.0297 	EXP 	letter_reminder: autoDraw = False
400.0297 	EXP 	NL_Pair: pos = array([0.3 , 0.25])
400.0297 	EXP 	NL_Pair: text = '7I'
400.0297 	EXP 	number_reminder: text = 'F = Odd        J = Even'
400.0297 	EXP 	letter_reminder: text = ' '
400.0297 	EXP 	NL_Pair: autoDraw = True
400.0297 	EXP 	number_reminder: autoDraw = True
400.0297 	EXP 	letter_reminder: autoDraw = True
